GEO.id,Id
GEO.id2,Id2
GEO.display-label,Geography
HD01_VD01,Estimate; Total:
HD02_VD01,Margin of Error; Total:
HD01_VD03,Estimate; Total: - Native
HD02_VD03,Margin of Error; Total: - Native
HD01_VD04,Estimate; Total: - Foreign born:
HD02_VD04,Margin of Error; Total: - Foreign born:
HD01_VD05,Estimate; Total: - Foreign born: - Naturalized U.S. citizen
HD02_VD05,Margin of Error; Total: - Foreign born: - Naturalized U.S. citizen
HD01_VD06,Estimate; Total: - Foreign born: - Not a U.S. citizen
HD02_VD06,Margin of Error; Total: - Foreign born: - Not a U.S. citizen
HD01_VD07,Estimate; Total: - Same house 1 year ago:
HD02_VD07,Margin of Error; Total: - Same house 1 year ago:
HD01_VD08,Estimate; Total: - Same house 1 year ago: - Native
HD02_VD08,Margin of Error; Total: - Same house 1 year ago: - Native
HD01_VD09,Estimate; Total: - Same house 1 year ago: - Foreign born:
HD02_VD09,Margin of Error; Total: - Same house 1 year ago: - Foreign born:
HD01_VD10,Estimate; Total: - Same house 1 year ago: - Foreign born: - Naturalized U.S. citizen
HD02_VD10,Margin of Error; Total: - Same house 1 year ago: - Foreign born: - Naturalized U.S. citizen
HD01_VD11,Estimate; Total: - Same house 1 year ago: - Foreign born: - Not a U.S. citizen
HD02_VD11,Margin of Error; Total: - Same house 1 year ago: - Foreign born: - Not a U.S. citizen
HD01_VD12,Estimate; Total: - Moved within same county:
HD02_VD12,Margin of Error; Total: - Moved within same county:
HD01_VD13,Estimate; Total: - Moved within same county: - Native
HD02_VD13,Margin of Error; Total: - Moved within same county: - Native
HD01_VD14,Estimate; Total: - Moved within same county: - Foreign born:
HD02_VD14,Margin of Error; Total: - Moved within same county: - Foreign born:
HD01_VD15,Estimate; Total: - Moved within same county: - Foreign born: - Naturalized U.S. citizen
HD02_VD15,Margin of Error; Total: - Moved within same county: - Foreign born: - Naturalized U.S. citizen
HD01_VD16,Estimate; Total: - Moved within same county: - Foreign born: - Not a U.S. citizen
HD02_VD16,Margin of Error; Total: - Moved within same county: - Foreign born: - Not a U.S. citizen
HD01_VD17,Estimate; Total: - Moved from different county within same state:
HD02_VD17,Margin of Error; Total: - Moved from different county within same state:
HD01_VD18,Estimate; Total: - Moved from different county within same state: - Native
HD02_VD18,Margin of Error; Total: - Moved from different county within same state: - Native
HD01_VD19,Estimate; Total: - Moved from different county within same state: - Foreign born:
HD02_VD19,Margin of Error; Total: - Moved from different county within same state: - Foreign born:
HD01_VD20,Estimate; Total: - Moved from different county within same state: - Foreign born: - Naturalized U.S. citizen
HD02_VD20,Margin of Error; Total: - Moved from different county within same state: - Foreign born: - Naturalized U.S. citizen
HD01_VD21,Estimate; Total: - Moved from different county within same state: - Foreign born: - Not a U.S. citizen
HD02_VD21,Margin of Error; Total: - Moved from different county within same state: - Foreign born: - Not a U.S. citizen
HD01_VD22,Estimate; Total: - Moved from different state:
HD02_VD22,Margin of Error; Total: - Moved from different state:
HD01_VD23,Estimate; Total: - Moved from different state: - Native
HD02_VD23,Margin of Error; Total: - Moved from different state: - Native
HD01_VD24,Estimate; Total: - Moved from different state: - Foreign born:
HD02_VD24,Margin of Error; Total: - Moved from different state: - Foreign born:
HD01_VD25,Estimate; Total: - Moved from different state: - Foreign born: - Naturalized U.S. citizen
HD02_VD25,Margin of Error; Total: - Moved from different state: - Foreign born: - Naturalized U.S. citizen
HD01_VD26,Estimate; Total: - Moved from different state: - Foreign born: - Not a U.S. citizen
HD02_VD26,Margin of Error; Total: - Moved from different state: - Foreign born: - Not a U.S. citizen
HD01_VD27,Estimate; Total: - Moved from abroad:
HD02_VD27,Margin of Error; Total: - Moved from abroad:
HD01_VD28,Estimate; Total: - Moved from abroad: - Native
HD02_VD28,Margin of Error; Total: - Moved from abroad: - Native
HD01_VD29,Estimate; Total: - Moved from abroad: - Foreign born:
HD02_VD29,Margin of Error; Total: - Moved from abroad: - Foreign born:
HD01_VD30,Estimate; Total: - Moved from abroad: - Foreign born: - Naturalized U.S. citizen
HD02_VD30,Margin of Error; Total: - Moved from abroad: - Foreign born: - Naturalized U.S. citizen
HD01_VD31,Estimate; Total: - Moved from abroad: - Foreign born: - Not a U.S. citizen
HD02_VD31,Margin of Error; Total: - Moved from abroad: - Foreign born: - Not a U.S. citizen
